Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	bonliomie	bonhomie					
Remplacement	bordees	bordées	1				
Remplacement	Britis/i	British					
Remplacement	Brmm	Brunn					
Remplacement	BTATUKR	STATUES					
Remplacement	btllimenls	bâtiments					
Remplacement	Bul/etin	Bulletin					
Remplacement	busies	bustes					
Remplacement	bvpolbèse	hypothèse					
Concatenation	c esl-à-dire	c’est-à-dire					
Concatenation	c II ères	chères					
Remplacement	C.ampana	Campana					
Remplacement	C.lcmenle	Clemente					
Remplacement	c'csl	c’est					
Remplacement	C'cst	C’est					
Remplacement	c'esl	c’est					
Remplacement	c'esl-à-dire	c'est-à-dire					
Remplacement	c'esl-a-Jircdes	c’est-à-dire des					
Remplacement	c*était	c’était					
Remplacement	c/ioi,r	choix					
Remplacement	c^de	cède					
Remplacement	c6te	côte					
Remplacement	Cabircs	Cabires					
Remplacement	cacheltes	cachettes					
Remplacement	Cahincl	Cabinet					
Remplacement	caladogue	catalogue					
Remplacement	Capilolc	Capitole					
Remplacement	caract^re	caractère					
Remplacement	caract^riser	caractériser					
Remplacement	caricns	cariens					
Remplacement	cariière	carrière					
Remplacement	Catnpan'	Campana					
Remplacement	Cboisy	Choisy					
Remplacement	cci^^hes	couches					
Remplacement	cddant	cédant					
Remplacement	cdmmande	commande					
Remplacement	cdramistes	céramistes					
Remplacement	céde	cédé	1				
Remplacement	cède;déiîniti-	cède; définiti-					
Remplacement	cei|tre	centre					
Remplacement	ceil	oeil					
Remplacement	ceilainement	certainement					
Remplacement	celiii-ci	celui-ci					
Concatenation	cen- tre	centre					
Remplacement	cenlral	central					
Remplacement	centièm(>	centième					
Remplacement	céramiqxte	céramique					
Remplacement	cerlams	certains					
Remplacement	cerlilude	certitude					
Remplacement	cerndes	cernées					
Remplacement	cesl	c’est					
Remplacement	cetalimentpassait	cet aliment passait					
Remplacement	cetre	cette					
Remplacement	cetta	cette					
Remplacement	cha(jue	chaque					
Remplacement	Cha(jue	Chaque					
Remplacement	chacfue	chaque					
Remplacement	chai-geait	chargeait					
Remplacement	Chalde'e	Chaldée					
Remplacement	chapi.tre	chapitre					
Remplacement	charpenle	charpente					
Remplacement	chefsd'oeuvre	chefs d'oeuvre					
Remplacement	cHel,on	effet, on					
Remplacement	chillic	chiffre					
Remplacement	Cholera-morbus	Choléra-morbus	24				
Remplacement	Cholera-Morbus	Choléra-morbus	18				
Remplacement	cholera-morbus	Choléra-morbus	1				
Remplacement	ci-dcssus	Ci-dessus					
Remplacement	ciéalion	création					
Concatenation	cii -conslances	circonstances					
Remplacement	ciiargé	chargé					
